name,pos_tag
sherry,NN
dende,VBD
eggs,NNS
fleur,VBP
nuts,NNS
tex,NN
albacore,IN
unhulled,VBN
maca,NN
sauce,NN
submarine,NN
curlyleaf,NN
gelato,NN
beaten,VBN
iron,NN
plain,NN
tropical,JJ
fillets,NNS
peanuts,NNS
spinach,VBP
oil,NN
cavenders,NNS
process,NN
mitsuba,NN
cuminseed,VBD
drained,VBN
chops,NNS
katsuo,RB
spring,VBG
riesling,VBG
alaskan,NN
broth,NN
cranberry,NN
arhar,NN
brussels,NNS
jujube,VBP
sponge,NN
grenadine,NN
paprika,NN
bonito,NN
pepe,NN
bisquick,NN
tomatillo,NN
leche,NN
balance,NN
truffles,NNS
silver,RB
blends,VBZ
brewed,VBN
morel,NN
farro,NN
crabmeat,NN
kewpie,NN
canela,NN
thickcut,NN
of,IN
mango,NN
lumpia,NN
eggnog,NN
ouzo,NN
santo,IN
jagermeister,NN
ruby,NN
ampalaya,NN
carnation,NN
florets,NNS
land,VBP
poppyseeds,NNS
undiluted,VBN
coconut,NN
firmly,RB
mole,JJ
mahimahi,NN
sockeye,NN
segments,NNS
star,NN
bear,NN
snaps,NNS
puree,VBP
amaretto,IN
suckling,VBG
paccheri,NN
pumpkin,NN
cake,NN
gnocchi,NN
chocolatehazelnut,NN
neem,NN
cantal,NN
sausag,NN
spike,NN
soybased,VBD
wheat,NN
carbonated,VBN
viande,NN
collard,NN
artificial,NN
keema,NN
queso,RB
syrup,VB
louisiana,NNS
pam,NN
well,RB
ovenready,RB
liquid,JJ
sprite,NN
softshell,NN
anisette,NN
glutenfree,NN
in,IN
promise,NN
orange,NN
du,NN
torn,NN
jonshonville,NN
monterey,NN
glacs,NNS
corkscrew,VBD
crocker,NN
pain,NN
creme,NN
uncook,NN
french,NN
home,NN
tomatoes,VBZ
piripiri,NN
spaghetti,NN
scrod,NN
hawaiian,NN
wonton,NN
oysters,NNS
robiola,VBP
whip,NN
chicory,NN
pomelo,NN
havarti,NN
zucchini,NN
seamless,NN
tuna,NN
piquillo,NN
shell,NN
biscuit,NN
pea,NN
flakes,VBZ
flaked,VBN
budweiser,NN
tiger,NN
chachere,RB
classico,RB
burrito,IN
thyme,NN
negro,NN
fresh,NN
hierba,NN
blackstrap,NN
aai,NN
turbot,NN
seltzer,NN
poundcake,NN
chioggia,NN
essence,NN
armagnac,NN
sesame,NN
chickenapple,NN
popcorn,NN
turkey,NN
saffron,NN
tapatio,NN
fern,NN
glass,NN
drink,NN
shirataki,NN
sauc,NN
pla,NN
chocho,NN
hothouse,NN
citrus,VBZ
posole,JJ
turmeric,JJ
devil,NN
it,PRP
sugars,VBZ
portuguese,JJ
cakes,NNS
mayonnaise,VBP
turnip,NN
jameson,NN
oats,NNS
unsalted,VBD
boysenberries,NNS
sec,NN
allspice,NN
filets,NNS
pies,NNS
warm,VBP
psyllium,NN
pinto,IN
vindaloo,NN
peanut,NN
flavored,VBD
yum,NN
flowers,NNS
dinner,NN
noir,NN
udon,NN
dip,NN
harusame,NN
olie,NN
cranberries,NNS
sweetbreads,NNS
tostitos,NNS
eating,VBG
conger,JJR
manis,NNS
european,JJ
grit,NN
chuck,NN
selfrising,VBG
carne,NN
packed,VBD
reduced,VBN
iceberg,NN
mantou,NN
fatback,NN
anasazi,NN
dates,VBZ
khoa,NN
leav,NN
oyster,NN
harissa,NN
with,IN
cham,NN
bacon,NN
flax,NN
frankfurters,NNS
concentrate,VBP
cardamom,NN
kisses,NNS
greater,JJR
chardonnay,NN
lo,NN
manchego,NN
tendons,NNS
cavatelli,VBP
seasoning,VBG
cinnamon,NN
avocados,NNS
swede,VBP
blackberries,NNS
sangiovese,VBP
imperial,JJ
chive,JJ
pandanus,NN
ricotta,NN
chickens,NNS
cubed,VBD
wolf,PRP
williams,NNS
leek,VBP
cockles,NNS
harvest,JJS
cloves,NNS
sorbet,VBP
sub,NN
pasilla,NN
cheddar,NN
shellfish,NN
stick,NN
ears,NNS
boudin,VBP
sweetener,NN
watercress,NN
jamaican,NN
falafel,NN
spices,NNS
countrystyle,NN
pinenuts,NNS
creamed,VBD
ton,NN
clementines,NNS
chow,VBP
goma,NN
velvet,NN
espresso,NN
manouri,NN
yogurt,NN
jelli,NN
kumquats,NNS
tempeh,VBP
apples,NNS
fritos,NNS
tortilla,VBP
deli,NN
tart,NN
sheet,NN
hamburger,NN
dark,NN
cummin,NN
mandarin,NN
hong,IN
taco,NN
spiral,JJ
bows,NNS
pappardelle,VBP
plantains,NNS
bought,VBD
semolina,NNS
strozzapreti,VBP
oigatsuo,NN
fluff,NN
giblet,NN
membrillo,NN
lap,NN
pitted,VBD
mint,NN
potsticker,NN
proactiv,NN
gourd,NN
marzano,NN
matsutake,NN
any,DT
unsweetened,VBN
rapeseed,NN
reggiano,RB
portobello,RB
dill,RB
smithfield,VBN
mince,NN
flatbread,NN
manzanilla,NN
roughy,NN
reducedfat,NN
lavender,NN
heath,NN
pareve,NN
unsulphured,VBD
grigio,NN
the,DT
seven,CD
storebought,NN
taste,NN
steak,NN
light,NN
picnic,NN
fondant,NN
garam,NN
grilled,VBD
petit,NN
calorie,NN
abbamele,NN
haddock,NN
huckleberries,NNS
ulek,VBP
dumpling,VBG
raspberries,NNS
prunes,NNS
mignon,VBP
pecorino,RB
beverage,NN
v,NN
edam,NN
pappadams,NNS
puffed,VBD
chinese,JJ
cotija,NN
italianstyle,NN
wholesome,NN
emmenthal,NN
lasagne,NN
blend,NN
stellette,NN
ortega,NN
cayenne,NN
oguraan,NN
currants,NNS
broccoli,VBP
thick,NN
reblochon,NN
cress,NN
blueberri,NN
hoop,NN
verbena,NN
dal,NN
taleggio,NN
foods,NNS
arugula,VBP
au,NN
balm,NN
devein,NN
borage,NN
shallots,NNS
pigeon,VBP
pot,NN
linguini,NN
slice,NN
knudsen,NN
soursop,NN
extra,NN
shoepeg,NN
rosemari,NN
caraway,NN
better,NN
menthe,NN
jalapenos,NNS
lesser,NN
lobster,NN
leafy,NN
mustard,NN
kasha,NN
filling,VBG
raspberri,NN
tropic,JJ
noodle,NN
muffins,NNS
arctic,JJ
quickcooking,NN
madagascar,NN
wish,NN
laurel,NN
soften,NN
karashi,NN
mochiko,NN
nakano,NN
kiwifruit,NN
tarama,NN
asadero,NN
cachaca,NN
barley,NN
cooking,VBG
asiago,RB
sloe,JJ
chee,NN
gram,NN
treviso,RB
amber,NN
spearmint,NN
jerk,NN
cilantro,NN
piecrust,NN
idaho,NN
sausage,NN
sweetened,VBD
pimenton,NN
spray,NN
brew,VBD
prosecco,NN
liqueur,NN
anjou,NN
pastina,NN
cornhusks,NNS
chang,VBP
somen,NNS
garden,VBN
reduc,NN
toasted,VBN
recipe,NN
day,NN
chips,NNS
skirt,NN
genmai,NN
curd,NN
kohlrabi,NN
shiro,NN
provence,NN
cannoli,NN
thread,NN
braising,VBG
cracker,NN
kombu,NN
blanched,VBD
vine,NN
champagne,NN
sel,NN
southern,NN
dangmyun,NN
fatfree,NN
alcohol,NN
grappa,NN
coke,NN
tomato,NN
flower,NN
samphire,NN
vineyard,NN
daikon,NN
pod,NN
redfish,NN
runny,NN
bellpepper,NN
hatcho,NN
bartlett,NN
natto,NN
sashimi,NN
lea,NN
tikka,NN
laksa,NN
shortcrust,NN
decorating,VBG
hellmanns,NNS
tap,NN
farina,NN
bean,NN
ketchup,NN
shells,NNS
burgundy,VBP
granulated,VBN
cabbage,NN
persimmons,NNS
perch,VBP
low,JJ
flora,NN
rapid,JJ
cheeks,NNS
kochujang,VBP
skim,PRP
tatsoi,VBP
olive,JJ
squirt,NN
taro,NN
codfish,NN
frostings,NNS
szechwan,VBP
macarons,NNS
fettuccine,NN
boy,NN
korean,NN
yeast,NN
peppered,VBD
crescent,NN
lemon,NN
ice,NN
clover,NN
minicubes,NNS
proscuitto,IN
milkfish,JJ
mincemeat,NN
seville,NN
calvados,NNS
beansprouts,NNS
tender,VBP
cardoons,NNS
lobsters,NNS
pitas,VBP
flat,JJ
taiwanese,NN
gnocchetti,NN
salata,NN
lima,NN
tradicional,JJ
brand,NN
leeks,NNS
pina,VBP
minicub,NN
red,VBN
tangerine,NN
elbow,NN
shortbread,NN
tandoori,NN
crusts,NNS
gingerroot,VBD
sauerkraut,NN
kirschenliqueur,NN
peeled,VBD
crimini,NN
stout,IN
guava,NN
pieces,NNS
rise,VBP
links,NNS
chees,NNS
chilegarlic,JJ
chenpi,NN
crackers,NNS
fungus,VBZ
mccormick,NN
bermuda,NN
penn,NN
pecans,NNS
patis,VBZ
american,JJ
ranch,NN
ca,MD
amaretti,VB
reducedsodium,NN
romain,NN
masa,NN
gray,NN
chianti,NN
crystallized,VBD
guacamol,NN
furikake,NN
dipping,VBG
scallopini,NN
marcona,NN
liquor,NN
creamy,NN
crayfish,NN
ragu,NN
persimmon,NN
softened,VBD
kikkoman,NN
madeleine,NN
pesto,NN
flounder,NN
bing,VBG
pace,NN
muscat,NN
usukuchi,NN
piccolini,NN
bresaola,NN
branzino,NN
all,DT
culinary,JJ
water,NN
island,NN
fat,NN
chuno,NN
velveeta,NN
prune,NN
cuts,NNS
betty,RB
fedelini,VBP
chilcostle,JJ
cube,NN
roasting,VBG
steelcut,NN
classic,JJ
haloumi,NN
splenda,NN
size,NN
oysterflavor,NN
cut,VBD
celery,NN
cross,NN
texas,NNS
kasuri,VBP
applewood,NN
balsamico,NN
nut,NN
mostarda,NN
persian,NN
cornmeal,NN
navy,NN
rocket,NN
pretzels,NNS
grilling,VBG
crab,NN
rooster,NN
marinade,NN
konbu,NN
chocolate,NN
flowerets,NNS
noodles,NNS
sunflower,JJR
elderflower,NN
double,JJ
made,NN
peas,NNS
processed,VBD
wrappers,NNS
southwest,VBP
fuyu,NN
truffle,NN
lan,NN
m,NN
gherkin,NN
extract,NN
rice,NN
tartlet,NN
sheepshead,NN
ground,NN
pepperoncini,NN
active,JJ
friselle,NN
softboiled,VBD
mascarpone,NN
eggroll,NN
prawn,NN
chestnuts,NNS
granary,JJ
chapati,NN
chili,NN
eel,NN
bragg,NN
rising,VBG
teff,NN
foster,NN
nutmeg,NN
arrow,NN
purple,NN
rum,NN
acini,NN
rhubarb,NN
dessert,NN
hillshire,NN
seafood,NN
camellia,NN
pilaf,NN
bonein,NN
sauces,NNS
klondike,VBP
cracked,VBN
legs,NNS
custard,IN
pork,NN
skins,NNS
lean,VBP
alexia,NN
cultured,VBN
dri,NN
bibb,NN
peaches,NNS
martha,VBP
rosa,NN
winter,NN
bulk,NN
acai,NN
hyssop,NN
starter,NN
cane,NN
cajuncreole,NN
topping,VBG
mooli,NN
legumes,NNS
banana,NNS
superior,JJ
prik,NN
spears,NNS
tomatillos,NNS
burro,VBP
gruyre,NN
vidalia,NN
beech,NN
monkfish,NN
valencia,NN
cooki,NN
meat,NN
tagliatelle,NN
colorado,NN
ravva,NN
santa,NN
parsnips,NNS
pudding,VBG
grouper,NN
scallion,NN
tawny,NN
snails,NNS
aka,VBP
bertolli,NN
panang,NN
distilled,VBD
pheasant,JJ
buttercup,NN
snow,NN
filled,VBD
believe,NN
bamboo,NN
creami,NN
daniels,NNS
crispy,VBP
tenderizer,NN
turtle,NN
coarse,NN
radicchio,NN
sucralose,NN
spareribs,NNS
mex,NN
pepitas,NNS
kongstyle,NN
ficelle,NN
makers,NNS
black,VBP
orchid,JJ
bell,NN
cole,NN
compote,NN
whisky,NN
hip,NN
parmesan,NN
ladys,NNS
bags,NNS
groats,NNS
jicama,VBP
fresca,NN
mayonaise,NN
flanken,NN
sucanat,NN
bengal,NN
grissini,NN
bay,NN
tasso,NN
stewed,VBD
marjoram,NN
fowl,NN
seca,NN
soppressata,NN
ancho,NN
soybean,NN
field,NN
teardrop,NN
bagel,NN
pumpkinseeds,NNS
porcini,VBP
bitter,JJ
dickel,NN
almondmilk,NN
salmon,NN
parmagiano,NN
wishbone,NN
wildflower,NN
escarole,NN
hops,NNS
pimento,IN
pecan,JJ
pepperidge,NN
oatmeal,NN
patties,NNS
claws,VBZ
sultana,NNS
cauliflowerets,NNS
grating,VBG
shiso,RB
quick,JJ
bitters,NNS
rotelle,VBP
breyers,NNS
muenster,RBR
kaiser,NN
strawberry,NN
purpose,NN
pectin,NN
tortellini,NN
butternut,NN
poha,NN
mexicorn,NN
sugarcane,NN
fresno,NN
sweet,NN
maldon,NN
violets,NNS
kerrygold,VBD
mrs,NNS
mung,IN
nopales,NNS
beefsteak,VBP
fryers,NNS
gyoza,VBP
chateaubriand,NN
pisco,NN
solid,VBD
spaghettini,NN
kamaboko,NN
slim,NN
vie,NN
fullfat,NN
not,RB
pimentos,VBZ
peasant,JJ
grapes,NNS
wheels,NNS
nectarines,NNS
yams,NNS
fresco,VBP
heirloom,NN
muscovado,NN
pound,NN
horseradish,NN
chai,NN
bottoms,NNS
blueberry,VBP
raisin,NN
oldfashioned,VBN
hollandaise,NN
sago,RB
baton,NN
shanghai,NN
dandelion,NN
fudge,NN
strong,JJ
sauvignon,NN
grass,NN
starch,NN
cannelloni,NN
sparkling,VBG
trout,IN
schnapps,NNS
kidney,NN
atta,NN
rings,NNS
kasu,VBP
pie,NN
giardiniera,NN
four,CD
vietnamese,JJ
negi,NN
oat,NN
fil,NN
medium,NN
swerve,NN
do,VBP
biryani,NN
up,IN
aloe,NN
age,NN
grana,NN
arak,NN
demi,NN
paratha,NN
chorizo,NN
softwheat,NN
accompaniment,NN
galangal,NN
doubleacting,VBG
spanish,JJ
sandwiches,NNS
non,VBP
marin,NN
added,VBD
bawang,NN
aspic,NN
petits,NNS
kefalotiri,VBP
hoagie,NN
fino,NN
shoga,NN
jaggery,NN
top,NN
longgrain,NN
pale,NN
specials,NNS
granules,NNS
papalo,VBP
monde,NN
carcass,NN
mace,NN
purpos,NNS
carnaroli,VBP
soup,NN
asparagus,NNS
stolichnaya,VBP
marnier,JJR
blood,NN
broil,NN
goreng,NN
shucked,VBD
paella,NN
lentils,NNS
capicola,VBP
shoyu,NN
fideos,NNS
brown,IN
margarine,NN
shortening,VBG
meal,NN
fashioned,VBD
mirin,NN
kaffir,NN
littleneck,NN
crumbles,NNS
lemonade,VBP
shin,JJ
ear,NN
johnsonville,NN
cashew,NN
chaat,NN
coars,NNS
seaweed,VBD
heeng,JJ
anchovy,NN
filet,NN
big,JJ
sooji,NN
sesameginger,NN
lox,NN
scape,NN
biscotti,NN
snip,NN
slab,NN
pineapples,NNS
cointreau,VBP
pickapeppa,NN
squeezed,VBN
escargot,NN
roll,NN
tenderloins,VBZ
calamansi,NN
spread,NN
clear,NN
jalape,NN
chourico,NN
gala,NN
idli,NN
granny,NN
ammonium,NN
frying,VBG
vegeta,NN
morcilla,NN
ascorbic,NN
part,NN
loose,NN
wedge,NN
fingerling,VBG
organic,JJ
yakinori,NN
campanelle,NN
whole,NN
brioche,NN
ditalini,NN
green,NN
powdered,VBD
aged,VBN
cajeta,NN
eggland,NN
bits,NNS
hot,VBD
grated,VBN
quatre,NN
slaw,NN
pack,NN
semi,NN
cumberland,NN
hazelnut,NN
drumsticks,NNS
broiler,JJR
orzo,NN
arborio,NN
capellini,NN
thighs,NNS
fiesta,VBP
condensed,VBN
lop,NN
biscuits,NNS
maui,VBP
rigatoni,NN
greek,NN
real,NN
crawfish,NN
file,NN
manicotti,NN
coco,NN
northern,NN
nests,NNS
porter,NN
mary,NN
ginger,NN
enriched,VBD
jelly,RB
pummelo,RB
good,JJ
raclette,NN
cappuccino,NN
ocean,NN
melba,NN
limoncello,NN
redhot,NN
virgin,NN
madeira,NN
peapods,NNS
limeade,VBP
tuaca,NN
primavera,NN
tupelo,NN
grate,NN
uncooked,VBD
yellow,JJ
sun,NN
beef,NN
saigon,NN
short,NN
gran,NN
marinara,NN
chilli,NN
one,CD
myzithra,NN
mondavi,NN
seedless,NN
ale,NN
melted,VBD
chipotles,NNS
marmite,IN
doritos,NNS
rotisserie,VBP
nappa,NN
curaao,NN
brise,NN
kangkong,IN
flake,NN
veri,NN
ritz,NN
guanciale,NN
halloumi,NN
assam,NN
toffee,NN
deviled,VBD
hass,NN
shungiku,NN
madras,NNS
convert,VBP
turnips,NNS
fines,NNS
n,VBP
argo,RB
caciocavallo,RB
parma,VB
emerils,NNS
disco,IN
diamond,NN
range,NN
sugar,NN
sardines,NNS
arbol,NN
portabello,NN
papad,NN
pansies,NNS
estancia,VBP
licorice,NN
new,JJ
sole,NN
poi,NN
mutton,NN
crepes,NNS
masala,VBP
canola,NN
fenugreek,NN
pointed,VBD
burger,NN
lecithin,NN
ceylon,NN
wakame,NN
mountain,NN
ranchstyle,NN
fivespice,NN
accent,NN
honey,NN
farofa,NN
canned,VBD
weed,VBN
season,NN
waxy,NN
torpedo,NN
wasabe,NN
passover,NN
fajita,NN
crme,NN
yolk,NN
or,CC
barilla,NN
skinless,NN
straight,NN
valley,NN
artichok,NN
pickle,NN
parmigianareggiano,NN
blossom,NN
bone,NN
margherita,NN
tritip,NN
urad,NN
parmigianoreggiano,NN
sorghum,NN
saltpeter,NN
edible,JJ
halves,NNS
miracle,NN
garbanzo,NN
banger,NN
miswa,NN
pots,NNS
salsa,VBP
table,JJ
dr,NN
kroger,NN
blossoms,NNS
shishito,IN
pink,NN
natural,JJ
romana,NN
wings,NNS
dairy,NN
partskim,NN
tentacles,NNS
kha,VBP
padano,RB
rockfish,JJ
wood,NN
waffle,NN
toppings,NNS
jiffy,VBP
mayonnais,NNS
into,IN
chervil,NN
sheeps,NNS
golden,VBP
bosc,NN
blackeyed,VBN
ramps,NNS
lipton,IN
rainbow,NN
gember,NN
salami,NN
uni,NN
mizuna,NN
shank,NN
whiskey,NN
kewra,NN
heinz,NN
dish,NN
castellane,NN
fattrimmed,VBD
bushi,NN
cornichons,NNS
pernod,VBD
curing,VBG
maltose,NN
braeburn,NN
tartar,NN
vera,NN
curry,NN
arrabbiata,NN
bream,NN
rabe,NN
wolfberries,NNS
chia,VBP
mahi,NN
artichokes,NNS
shaoxing,VBG
store,NN
crumpet,NN
diet,NN
buffalo,NN
drippings,NNS
peperoncino,VBP
greekstyl,NN
bens,NNS
chunks,NNS
caster,VBP
chitterlings,NNS
to,TO
pumpernickel,VB
pekoe,NN
bars,NNS
shuck,VBP
ciabatta,NN
shahi,NN
orecchiette,NN
chillies,NNS
cuttlefish,VBP
unflavored,VBN
paste,NN
gouda,NN
progresso,NN
grey,NN
smoke,NN
iced,VBD
dean,JJ
veget,NN
merguez,NN
fruit,NN
wedges,NNS
veggies,NNS
italian,JJ
porterhouse,NN
sichuan,NN
relish,NN
coriander,NN
marble,JJ
nestle,NN
family,NN
cornbread,NN
textured,VBD
shiromiso,RB
noodl,JJ
bee,NN
food,NN
true,NN
sucrolose,NN
bittersweet,NN
dole,NN
grand,NN
racks,NNS
licor,NN
tony,NN
croissant,NN
boursin,NN
olives,NNS
rutabaga,VBP
amaranth,JJ
steaks,NNS
montreal,VBP
paddles,NNS
pita,NNS
tvp,VBP
paddy,JJ
streaky,NN
jif,IN
dhal,JJ
chard,NN
cucumbers,NNS
and,CC
salad,VB
nutella,NN
praline,NN
dough,IN
mousse,NN
rabbit,NN
vegetables,NNS
drum,NN
arrowroot,NN
yam,NN
tubetti,NN
hijiki,NN
steamed,VBD
aleppo,NN
curds,NNS
turbinado,VBP
canton,NN
giant,NN
burdock,NN
coarsegrain,NN
soi,NN
imo,NN
rigate,NN
lettuc,NN
ganache,NN
coloring,VBG
branca,NN
gebhardt,NN
dutchprocessed,VBD
broilerfryer,NN
sharp,NN
cuisine,NN
smooth,NN
pate,NN
russet,NN
moroccan,NN
sushi,NN
tequila,NN
muffin,NN
berries,NNS
cherries,NNS
shred,VBD
crock,NN
callaloo,NN
royal,NN
vadouvan,NN
napa,NN
sichuanese,NN
moulard,NN
achiote,NN
pressed,VBD
bones,NNS
perrins,NNS
amontillado,VBP
zaatar,NN
langoustines,NNS
meatfilled,VBD
prawns,NNS
shoulder,NN
perciatelli,NN
kung,NN
honeysuckle,NN
shortcakes,VBZ
cottage,NN
cornflakes,VBZ
pure,NN
unagi,NN
val,NN
side,NN
sour,NN
blackpepper,NN
pullman,NN
mozarella,NN
substitute,NN
spot,NN
preserves,NNS
nt,VBP
chocolatecovered,VBN
angostura,NN
islands,NNS
balsamic,JJ
onion,NN
karo,NN
farm,NN
baked,VBD
pickled,VBN
molasses,NNS
tom,VBP
sticks,NNS
haricot,RB
pois,VBZ
maitake,NN
puy,NN
crystal,NN
kalamata,NN
ras,NNS
house,VBP
lychees,NNS
clams,NNS
whitefish,VBP
oliv,NN
dogs,NNS
fries,NNS
hoisin,VBP
lacinato,IN
robert,NN
fully,RB
bok,NN
nam,NN
string,VBG
wing,NN
third,JJ
ajinomoto,NN
puffs,NNS
pine,VBP
muscavado,NN
fatfre,NN
sundried,VBD
nocalorie,NN
zinfandel,NN
knoflook,NN
nuoc,NN
pollock,NN
fromage,NN
flavoring,VBG
pte,NN
fruits,NNS
pear,VBP
pulp,NN
asafoetida,NN
fermented,VBD
kingfish,JJ
pandan,NN
ravioli,NN
ic,NN
believ,NN
curly,RB
qua,NN
lb,NN
frangelico,NN
calabash,NN
oranges,NNS
shapes,NNS
port,VBP
nonpareils,NNS
parts,NNS
pices,NNS
polenta,VBP
catalina,NN
kahla,NN
pumpkinseed,VBD
asian,JJ
savory,NN
mediumgrain,NN
farmer,NN
camembert,NN
kiwi,NN
matcha,NN
kabuli,NN
vital,NN
machine,NN
leftover,NN
bouillon,NN
barberries,NNS
candy,VBP
chutney,NN
precooked,VBN
calf,NN
spam,NN
piment,NN
sato,NN
remoulade,NN
magret,NN
muesli,NN
polish,NN
holland,NN
snappers,NNS
pockets,NNS
fingers,NNS
crabapples,NNS
cabrales,NNS
herbsaint,VBP
skimmed,VBN
oxtails,NNS
hanger,JJR
foie,NN
capers,NNS
steamer,NN
rind,NN
croissants,NNS
conimex,NN
chihuahua,NN
muscadet,NN
plum,NN
harina,NN
sweeten,NN
fleshed,VBD
glutinous,JJ
peperoncini,NN
quinoa,NN
soybeans,NNS
calabrese,VBP
chiffonade,NN
rock,NN
america,NN
poured,VBD
la,NN
figs,NNS
pearl,VBP
rioja,NN
bengali,NN
cold,VBD
char,NN
mochi,NN
kokum,NN
kosher,NN
palm,NN
cassava,NN
kernels,NNS
tzatziki,VBP
mulato,IN
boquerones,NNS
skinned,VBN
vermicelli,NN
soda,NN
bai,NN
pt,NN
